id_empresa,nome_fantasia,regiao_administrativa_df,setor,porte,genero_proprietario,idade_proprietario,area_desafio_mapeado,solucao_proposta,data_entrada_programa,data_fim_ciclo,pessoas_ocupadas_inicial,faturamento_bruto_mensal_inicial,custos_variaveis_mensal_inicial,produtividade_inicial,pessoas_ocupadas_final,faturamento_bruto_mensal_final,custos_variaveis_mensal_final,produtividade_final,percentual_implementacao_solucao,nps_atendimento
1,Armarinhos Bandeirante,Guará,Comércio,EPP,Feminino,28,Finanças,Plano de redução e renegociação de custos fixos,2025-05-04,2025-11-02,40,62614.92,41442.73,529.3,40,71694.54,45710.05,649.61,66.2,10
2,Escritório Ipê Amarelo,Recanto das Emas,Serviço,EPP,Feminino,72,Finanças,Capacitação em gestão de capital de giro,2026-01-27,2026-07-28,25,58040.31,14577.54,1738.51,24,39765.86,11932.23,1159.73,17.4,3
3,Salão das Águas Claras,Ceilândia,Serviço,ME,Masculino,29,Marketing,Plano de captação de clientes via marketing local,2025-08-18,2026-02-16,5,7733.31,2528.64,1040.93,5,8203.29,2730.3,1094.6,46.1,9
4,Espaço Candango,Taguatinga,Serviço,ME,Feminino,73,Comercial,Criação de script de atendimento comercial,2025-07-19,2026-01-17,9,8579.82,3766.49,534.81,9,10174.15,4066.54,678.62,76.2,10
5,Consultoria Bandeirante,Recanto das Emas,Serviço,ME,Masculino,46,Operações,Implementação de controle de estoque,2024-06-19,2024-12-18,5,6636.52,2687.59,789.79,4,4806.32,2186.73,654.9,10.9,4
6,Academia do Planalto,Plano Piloto,Serviço,ME,Masculino,27,Pessoas,Programa de treinamento e desenvolvimento de colaboradores,2025-06-24,2025-12-23,8,2437.83,970.65,183.4,7,2017.28,884.6,161.81,23.1,5
7,Mercadinho Ipê Amarelo,Vicente Pires,Comércio,EPP,Masculino,32,Finanças,Implementação de fluxo de caixa semanal,2024-11-23,2025-05-24,25,53557.71,32718.57,833.57,25,53774.04,32592.61,847.26,53.2,7
8,Pet Shop Bandeirante,Santa Maria,Comércio,ME,Feminino,27,Pessoas,Estruturação de processo seletivo e onboarding,2025-06-02,2025-12-01,1,13565.73,8785.64,4780.08,1,10786.08,7161.8,3624.28,39.1,7
9,Empório Ipê Amarelo,Águas Claras,Comércio,EPP,Masculino,43,Comercial,Implementação de funil de vendas estruturado,2025-05-16,2025-11-14,20,34758.87,24988.31,488.53,20,33343.56,24325.95,450.88,42.9,7
10,Assessoria JK,Santa Maria,Serviço,EPP,Masculino,29,Finanças,Consultoria em precificação e formação de preço de venda,2024-08-06,2025-02-04,16,80033.87,34096.92,2871.06,15,71493.03,30147.26,2756.38,52.9,6
11,Escritório Buriti,Núcleo Bandeirante,Serviço,ME,Feminino,63,Operações,Padronização de processos operacionais,2025-03-09,2025-09-07,9,29816.72,11691.39,2013.93,9,34339.16,12759.01,2397.79,63.7,10
12,Oficina Talento DF,Águas Claras,Serviço,ME,Feminino,29,Finanças,Capacitação em gestão de capital de giro,2025-04-10,2025-10-09,1,10672.81,3642.72,7030.09,1,12313.53,3855.47,8458.06,68.8,9
13,Boutique Meridiano,Recanto das Emas,Comércio,ME,Feminino,52,Marketing,Plano de captação de clientes via marketing local,2024-06-30,2024-12-29,8,11069.95,6250.46,602.44,8,11270.78,6262.42,626.05,56.0,7
14,Boutique Sol Nascente,Vicente Pires,Comércio,ME,Feminino,25,Operações,Implementação de controle de estoque,2025-11-02,2026-05-03,2,7169.86,4114.57,1527.64,2,8714.77,4500.49,2107.14,88.3,9
15,Assessoria Talento DF,Samambaia,Serviço,ME,Masculino,70,Finanças,Consultoria em precificação e formação de preço de venda,2025-12-24,2026-06-24,2,16024.44,4007.05,6008.7,2,18541.09,4494.52,7023.28,55.1,8
16,Distribuidora Lago Sul,Riacho Fundo,Comércio,EPP,Masculino,32,Operações,Consultoria em gestão da qualidade,2024-06-13,2024-12-12,31,51265.6,31879.0,625.37,31,47783.52,29871.39,577.81,47.8,4
17,Estúdio Alvorada,Ceilândia,Serviço,ME,Masculino,43,Finanças,Consultoria em precificação e formação de preço de venda,2024-08-13,2025-02-11,1,7813.7,1989.97,5823.73,1,9691.9,2378.17,7313.73,56.2,7
18,Espaço JK,Recanto das Emas,Serviço,ME,Masculino,44,Operações,Plano de melhoria de layout e fluxo logístico/produtivo,2024-08-17,2025-02-15,1,9391.2,3164.88,6226.33,1,8137.49,2962.08,5175.41,32.0,4
19,Escritório Talento DF,Sobradinho,Serviço,EPP,Masculino,32,Finanças,Separação financeira entre pessoa física e jurídica,2025-02-25,2025-08-26,41,30001.0,11085.62,461.35,42,40577.37,12315.57,672.9,94.0,10
20,Escritório Meridiano,Recanto das Emas,Serviço,ME,Masculino,50,Finanças,Separação financeira entre pessoa física e jurídica,2025-06-02,2025-12-01,1,3127.74,1154.69,1973.06,1,3046.57,1159.91,1886.66,42.3,6
21,Mercadinho Sol Nascente,Planaltina,Comércio,ME,Masculino,29,Comercial,Consultoria em negociação com fornecedores e clientes,2024-10-26,2025-04-26,6,5823.12,3849.43,328.95,6,6360.4,4113.01,374.56,59.6,5
22,Papelaria Brasília,Recanto das Emas,Comércio,EPP,Feminino,38,Operações,Implementação de controle de estoque,2025-10-30,2026-04-30,14,33956.9,20212.31,981.76,14,36505.08,21614.08,1063.64,52.1,5
23,Studio Talento DF,Taguatinga,Serviço,ME,Masculino,43,Finanças,Separação financeira entre pessoa física e jurídica,2024-12-07,2025-06-07,1,9972.72,3528.73,6444.0,2,13682.8,4110.83,4785.99,85.6,9
24,Academia JK,Taguatinga,Serviço,ME,Feminino,38,Operações,Padronização de processos operacionais,2024-12-05,2025-06-05,7,13787.59,6148.81,1091.25,6,12268.35,5467.6,1133.46,50.2,6
25,Mercadinho Cristal,Samambaia,Comércio,ME,Masculino,22,Finanças,Consultoria em precificação e formação de preço de venda,2025-05-25,2025-11-23,4,14018.89,8957.0,1265.47,4,16613.34,10088.84,1631.12,71.1,7
26,Fábrica Buriti,Gama,Indústria,EPP,Masculino,25,Comercial,Treinamento de técnicas de vendas para a equipe,2025-11-14,2026-05-15,21,30001.0,18747.58,535.88,21,30594.81,19251.73,540.15,47.1,6
27,Loja Sol Nascente,Águas Claras,Comércio,ME,Masculino,28,Comercial,Implementação de funil de vendas estruturado,2024-10-30,2025-04-30,7,3101.65,1942.5,165.59,7,3611.33,2157.7,207.66,69.2,9
28,Oficina Alvorada,Samambaia,Serviço,ME,Feminino,27,Finanças,Implementação de fluxo de caixa semanal,2024-12-23,2025-06-23,9,3296.21,1234.79,229.05,9,3995.5,1442.81,283.63,59.0,8
